,LowerBound FoldChange,Maximum Likelihood FoldChange,Upperbound FoldChange,Conservative Estimate FoldChange,Uncorrected Z-Score,Z-Score Corrected for Multiple Testing,symbol,OvaryLog2FC,WTLog2FC,UsedForOrdering,EmbryonicallyDimorphic
ENSMUSG00000032968,6.49113831333278,9.54801158879762,11.4727095770533,6.49113831333278,5.12985305784514,3.13047755112248,Inha,-0.721928638687133,-3.62872978712305,no,no
ENSMUSG00000050737,5.69861561228633,9.47253323631702,11.5104487532936,5.69861561228633,4.69494993140626,2.87957879612326,Ptges,-1.26855221730643,-4.79227208772241,no,no
ENSMUSG00000036687,5.43444137860419,8.41583630158843,10.453751818565,5.43444137860419,4.57537653529708,2.76329412023609,Tmem184a,4.05074695896572,1.60400401017104,no,yes
ENSMUSG00000028894,5.05704961620112,7.88748783422412,9.963142527441,5.05704961620112,4.434274830978,2.58238058306093,Inpp5b,1.1756438620614,-0.197563665736148,no,no
ENSMUSG00000051727,3.54748256658885,6.56661666581338,10.5669693472859,3.54748256658885,4.40013647473978,2.5474307568114,Kctd14,-0.154840876100944,-4.08837849949957,no,no
ENSMUSG00000021109,5.17026714492202,8.68001053527057,10.7934044047278,5.17026714492202,4.32623522436078,2.465201538999,Hif1a,-0.390772209966792,-2.49298488717264,no,no
ENSMUSG00000073821,4.67965785379804,7.51009607182104,9.54801158879762,4.67965785379804,4.20653590223038,2.35856857908042,NA,-3.05593672879273,-2.86198188015342,no,no
ENSMUSG00000022025,4.71739703003834,8.30261877286749,10.4914909948053,4.71739703003834,4.11490325643516,2.24174256740622,Lect1,-2.52703162742981,-4.30781281501552,no,no
ENSMUSG00000044906,4.64191867755774,7.96296618670472,9.9254033512007,4.64191867755774,4.07069658505443,2.18099272522855,4930503L19Rik,-1.29647765552452,3.32827869638192,no,no
ENSMUSG00000023147,4.26452691515467,8.03844453918535,10.1140992324022,4.26452691515467,4.0368141624043,2.14996015635516,Wrb,-0.155451158310318,-0.22522632427297,no,no
ENSMUSG00000026097,4.4154836201159,7.58557442430168,9.81218582247976,4.4154836201159,4.00839999964574,2.12666171428453,Ormdl1,-0.726607577914073,-2.30139723242625,no,no
ENSMUSG00000061232,4.15130938643376,8.18940124414659,10.3782734660844,4.15130938643376,3.96346294979238,2.06177153938699,H2-K1,0.326148870975519,-1.07646555537659,no,no
