,mean of normalized counts for all samples,log2 fold change (MAP): group cag_female vs wt_female,standard error: group cag_female vs wt_female,Wald statistic: group cag_female vs wt_female,Wald test p-value: group cag_female vs wt_female,BH adjusted p-values,symbol,ENTREZID,CHR,raClass,log2 fold change: Testis vs Ovary,BH adjusted p-Value: Testis vs Ovary
ENSMUSG00000082071,381.015824506236,10.9167460763201,1.08848745863488,10.029280530261,1.13339438566138e-23,6.0355251144208e-22,NA,NA,chrX,0,7.08987098303715,0.00000000032231568463288
ENSMUSG00000034891,479.792004835583,10.6789843375594,0.89523525032553,11.928690624812,8.38824988435293e-33,7.58447180561674e-31,Sncb,104069,chr13,0,5.17900769336366,0.0000000520491410607518
ENSMUSG00000036832,1584.15897596208,10.5419987310425,0.567045629675618,18.5910942247683,3.79359177143872e-77,1.90792375491558e-74,Lpar3,65086,chr3,0,8.50454785304973,1.5835395394624e-49
ENSMUSG00000079476,564.945469349112,10.5161229377507,0.881599404308032,11.9284596681469,8.4115518876361e-33,7.58447180561674e-31,1700011M02Rik,75443,chrX,0,8.65819993315154,6.24397982866352e-22
ENSMUSG00000085757,375.864051969057,10.4864770058042,1.07712079968723,9.73565547044425,2.12443605502371e-22,1.03398358703864e-20,1700019B21Rik,75545,chrX,0,9.07459534253621,1.76237609081104e-16
ENSMUSG00000045330,2457.02786364987,10.4486253862324,0.457671771255988,22.8299537844737,2.31200819985176e-115,4.75685177991319e-112,4933402E13Rik,74437,chrX,0,8.388365422507,2.09141893679595e-73
ENSMUSG00000083939,471.100032428659,10.3547459778151,0.904061508810037,11.4535857094994,2.25615724473951e-30,1.77914114156601e-28,NA,NA,chrX,0,8.06258579466452,2.95992266625497e-18
ENSMUSG00000081486,453.462284484756,10.2974750330128,0.901804039947247,11.4187501684015,3.37046030144393e-30,2.61233758706435e-28,NA,NA,chrX,0,8.03722630486725,3.13202608710559e-18
ENSMUSG00000079479,458.858387172421,10.2300842235169,0.887647066439293,11.5249456797665,9.87744783365432e-31,7.95538787798094e-29,Gm9112,668339,chrX,0,8.34982441082136,3.363600640919e-20
ENSMUSG00000044863,1491.90681256252,10.2099706432025,0.495319578189656,20.612895376595,2.10270111606728e-94,1.98284715245144e-91,Defb36,266620,chr2,0,7.65675845111722,2.63998009978533e-52
